Keyword	Score	Poem	Author
blood	0.8392	The Old Song Of Cavaliers	Hewitt
harvest	0.8386	The Old Song Of Cavaliers	Hewitt
inspire	0.6576	The Old Song Of Cavaliers	Hewitt
perish	0.5542	The Old Song Of Cavaliers	Hewitt
peace	0.5352	The Old Song Of Cavaliers	Hewitt
mother	1.2424	Consciences Song	Hewitt
sacrificed	0.8018	Consciences Song	Hewitt
sell	0.7827999999999999	Consciences Song	Hewitt
tithe	0.6774	Consciences Song	Hewitt
corruptor	0.6748	Consciences Song	Hewitt
conscience	0.6656	Consciences Song	Hewitt
bribes	0.6142	Consciences Song	Hewitt
lord	0.614	Consciences Song	Hewitt
pity	0.5208	Consciences Song	Hewitt
grave	0.4248	As Once You Did O Lady As Once You Did	Hewitt
betray	0.3122	As Once You Did O Lady As Once You Did	Hewitt
crags	0.3085	As Once You Did O Lady As Once You Did	Hewitt
flowers	0.2912	As Once You Did O Lady As Once You Did	Hewitt
weep	0.2697	As Once You Did O Lady As Once You Did	Hewitt
dig	0.2262	As Once You Did O Lady As Once You Did	Hewitt
motherland	0.2163	As Once You Did O Lady As Once You Did	Hewitt
lady	0.1872	As Once You Did O Lady As Once You Did	Hewitt
marrying	0.1867	As Once You Did O Lady As Once You Did	Hewitt
eagle	1.9052	Loneliness	Hewitt
throne	1.5398	Loneliness	Hewitt
head	0.883	Loneliness	Hewitt
insult	0.8114	Loneliness	Hewitt
greeting	0.6312	Loneliness	Hewitt
foe	0.5818	Loneliness	Hewitt
cowardice	0.55	Loneliness	Hewitt
venom	0.4504	Loneliness	Hewitt
afar	0.4338	Loneliness	Hewitt
bark	0.4304	Loneliness	Hewitt
nature	0.3247	What Created Me A Human Being	Hewitt
mortal	0.2982	What Created Me A Human Being	Hewitt
human	0.2854	What Created Me A Human Being	Hewitt
clouds	0.2698	What Created Me A Human Being	Hewitt
borne	0.2589	What Created Me A Human Being	Hewitt
mountain	0.2462	What Created Me A Human Being	Hewitt
transformed	0.23	What Created Me A Human Being	Hewitt
remained	0.2269	What Created Me A Human Being	Hewitt
death	0.2194	What Created Me A Human Being	Hewitt
verdant	0.2122	What Created Me A Human Being	Hewitt
roses	1.1949999999999998	Yet Again Shall I See The Spring	Hewitt
shall	0.986	Yet Again Shall I See The Spring	Hewitt
witness	0.7908	Yet Again Shall I See The Spring	Hewitt
profusion	0.7671999999999999	Yet Again Shall I See The Spring	Hewitt
violet	0.7602	Yet Again Shall I See The Spring	Hewitt
snake	0.7408	Yet Again Shall I See The Spring	Hewitt
torment	0.677	Yet Again Shall I See The Spring	Hewitt
poison	0.6488	Yet Again Shall I See The Spring	Hewitt
loveliness	0.6296	Yet Again Shall I See The Spring	Hewitt
exquisite	0.5532	Yet Again Shall I See The Spring	Hewitt
heart	2.3169	Thrush Its The Same Song You Sing	Hewitt
god	1.7870999999999997	Thrush Its The Same Song You Sing	Hewitt
mind	1.368	Thrush Its The Same Song You Sing	Hewitt
yearning	1.3443	Thrush Its The Same Song You Sing	Hewitt
mourn	1.2516	Thrush Its The Same Song You Sing	Hewitt
tree	0.9531	Thrush Its The Same Song You Sing	Hewitt
song	0.8436	Thrush Its The Same Song You Sing	Hewitt
troubled	0.7977000000000001	Thrush Its The Same Song You Sing	Hewitt
years	0.7748999999999999	Thrush Its The Same Song You Sing	Hewitt
sweetly	0.7476	Thrush Its The Same Song You Sing	Hewitt
